779,OFF 5TH,RH,RIVERHEAD O5,701 TANGER MALL DRIVE,RIVERHEAD,NY,11901-6407,575
780,OFF 5TH,NB,NORTHBROOK O5,127-A SKOKIE BOULEVARD,NORTHBROOK,IL,60062-1609,575
781,OFF 5TH,PI,PITTSBURGH O5,2200 TANGER BLVD #420,WASHINGTON,PA,15301-7908,575
782,OFF 5TH,PR,PORTLAND O5,7489 SW BRIDGEPORT RD,TIGARD,OR,97224-7207,597
784,OFF 5TH,CB,CHARLESTON O5,"4840 TANGER OUTLET,#500",NORTH CHARLESTON,SC,29418-6954,575
785,OFF 5TH,HI,HILTON HEAD O5,1260 FORDING ISLAND RD,BLUFFTON,SC,29910-8688,575
786,OFF 5TH,KK,KANSAS CITY O5,1803 VILLAGE WEST PKWY,KANSAS CITY,KS,66111-1880,575
788,OFF 5TH,OE,OF.COM LOCATOR,25 KEYSTONE BLVD,POTTSVILLE,PA,17901,593
789,OFF 5TH,OD,OFF5TH.COM,25 KEYSTONE BLVD,POTTSVILLE,PA,17901,593
793,Saks,FP,O5 TN PHOTO STUDIO,1 WALDEN BOOKS DRIVE,LAVERGNE,TN,37086,585
794,OFF 5TH,FQ,O5 NYC PHOTO STUDIO,"34 W 24TH ST, 8TH FLOOR",NEW YORK,NY,10010,575
796,OFF 5TH,PP,O5 POTT PHOTO STUDIO,25 KEYSTONE BLVD,POTTSVILLE,PA,17901,593
807,OFF 5TH,BT,BOSTON O5,300 CANAL STREET,SOMERVILLE,MA,2145,575
808,OFF 5TH,CE,CHARLOTTE O5,5404 NEW FASHION WAY,CHARLOTTE,NC,28278,575
809,OFF 5TH,CU,COLUMBUS O5,3940 STELZER RD,COLUMBUS,OH,43219,575
810,OFF 5TH,EM,EAGAN O5,3885 EAGAN OUT PKY #1100,EAGAN,MN,55122,575
811,OFF 5TH,LK,LOUISVILLE O5,1155 BUCK CREEK RD #400,SIMPSONVILLE,KY,40067,575
812,OFF 5TH,MW,MILWAUKEE O5,11500 BURLEIGH ST #170,WAUWATOSA,WI,53222,575
813,OFF 5TH,NR,NORTH SAN DIEGO O5,"11940 CARMEL MOUNTAIN ROAD, SU",SAN DIEGO,CA,92128,597
